Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / AUD,Price / AUD,Compare At Price / AUD,Included / CAD,Price / CAD,Compare At Price / CAD,Included / GBP,Price / GBP,Compare At Price / GBP,Included / INR,Price / INR,Compare At Price / INR,Included / NLD,Price / NLD,Compare At Price / NLD,Status
vellanki-millet-muruku,Millet Muruku,"<div>
                        <h4>DESCRIPTION</h4>
                                <p>
                                This delicious healthy snack is our own recipe that has been perfected after multiple attempts. We bring to you an original millet snack where we have used no rice flour.
Order now to enjoy this snack with a hot cup of chai.
Ingredients: 
Millets, Moong Dal, Ginger, Garlic, Green Chillies, Sesame Seeds, Jeera, Spices, Sunflower Oil.
                                </p>
                        
                    </div>",Vellanki Foods,,,"HSN:21069099, Millet Specials",FALSE,Size,250gms,,,,,vellanki-millet-muruku-0,250,,-3,deny,manual,6.5,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/28-min-720x400.jpg?v=1672859400,1,,FALSE,Buy Vellanki Foods Millet Muruku Online | Cherrypick,,,,,,,,,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/28-min-720x400.jpg?v=1672859400,g,,,TRUE,TRUE,,,TRUE,,,TRUE,5.5,,TRUE,170,,TRUE,6.5,,active
vellanki-millet-muruku,,,,,,,,,500gms,,,,,vellanki-millet-muruku-1,500,,0,deny,manual,13,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/28-min-720x400.jpg?v=1672859400,g,,,,,,,,,,,10,,,341,,,11,,
vellanki-millet-muruku,,,,,,,,,1 Kg,,,,,vellanki-millet-muruku-2,1000,,0,deny,manual,23.5,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/28-min-720x400.jpg?v=1672859400,g,,,,,,,,,,,20.5,,,676,,,22.5,,
vellanki-mango-chocolate-bite,Mango Chocolate Bite,"<div>
                        <h4>DESCRIPTION</h4>
                                <p>
                                Goodness of Mango &amp; Chocolate, made in to a bite sized papdi sweet is a hit at every occasion/celebration at home. 
Vellanki Foods Mango Chocolate Bite is going to be a sure hit with kids and adults alike.
                                </p>
                        <h4>INGREDIENTS</h4>
                                <ul>
                                  <li>Mango, Chocolate, Sugar, Ghee, liquid glucose</li>
                                </ul>
                    </div>",Vellanki Foods,,,"HSN:21069099, Sweets, Indian Sweets",TRUE,Size,250gms,,,,,vellanki-mango-chocolate-bite-0,250,,0,deny,manual,8.5,,TRUE,FALSE,,,,,FALSE,Buy Vellanki Foods Mango Chocolate Bite Online | Cherrypick,,,,,,,,,FALSE,,,,,,,g,,,TRUE,TRUE,,,TRUE,,,TRUE,7.5,,TRUE,336,,TRUE,9,,active
vellanki-mango-chocolate-bite,,,,,,,,,500gms,,,,,vellanki-mango-chocolate-bite-1,500,,0,deny,manual,17,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,14,,,674,,,15.5,,
vellanki-mango-chocolate-bite,,,,,,,,,1 Kg,,,,,vellanki-mango-chocolate-bite-2,1000,,0,deny,manual,32.5,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,g,,,,,,,,,,,28,,,1342,,,31.5,,
vellanki-karivepaku-karam-podi,Karivepaku Karam Podi,"<div>
                        <h4>DESCRIPTION</h4>
                                <p>
                                Curry leaves are a must add ingredient in every Indian Thadka. Apart from being a versatile culinary herb, they offer an abundance of health benefits. We are bringing you this super ingredient in a all new avatar, where you dont miss any of its benefits in a tasty and spicy format. Just add our Karivepaku Karam to hot steamed rice and a good dollop of ghee and enjoy a burst of flavours in your mouth.
This product is a 
Farm2Fork product 
where Curry leaves used in this product are grown in our own farms.

                                </p>
                        <h4>INGREDIENTS</h4>
                                <ul>
                                  <li>Curry Leaves</li>
                                </ul>
                    </div>",Vellanki Foods,,,"chilli powder, HSN:21069099",FALSE,Size,250gms,,,,,vellanki-karivepaku-karam-podi-0,250,,-10,deny,manual,6.5,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Pudeena_Karam-720x400_59952e85-9100-497f-91f9-4d9e57d21429.jpg?v=1672859157,1,,FALSE,Buy Vellanki Foods Karivepaku Karam Podi Online | Cherrypick,,,,,,,,,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Pudeena_Karam-720x400_59952e85-9100-497f-91f9-4d9e57d21429.jpg?v=1672859157,g,,,TRUE,TRUE,,,TRUE,,,TRUE,5.5,,TRUE,191,,TRUE,7,,active
vellanki-karivepaku-karam-podi,,,,,,,,,500gms,,,,,vellanki-karivepaku-karam-podi-1,500,,-1,deny,manual,13.5,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Pudeena_Karam-720x400_59952e85-9100-497f-91f9-4d9e57d21429.jpg?v=1672859157,g,,,,,,,,,,,10.5,,,383,,,11.5,,
vellanki-karivepaku-karam-podi,,,,,,,,,1 Kg,,,,,vellanki-karivepaku-karam-podi-2,1000,,0,deny,manual,24.5,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Pudeena_Karam-720x400_59952e85-9100-497f-91f9-4d9e57d21429.jpg?v=1672859157,g,,,,,,,,,,,21.5,,,759,,,23.5,,
vellanki-pepper-kaju,Pepper Kaju,"<div>
                        
                        <h4>INGREDIENTS</h4>
                                <ul>
                                  <li>Cashews, Ghee, Salt, Pepper</li>
                                </ul>
                    </div>",Vellanki Foods,,,"HSN:21069099, Namkeen, Indian Snacks",FALSE,Size,250gms,,,,,vellanki-pepper-kaju-0,250,,1,deny,manual,11,,TRUE,FALSE,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Pepper_Kaju-720x400.jpg?v=1672859131,1,,FALSE,Buy Vellanki Foods Pepper Kaju Online | Cherrypick,,,,,,,,,FALSE,,,,,,https://cdn.shopify.com/s/files/1/0568/6267/1023/products/Pepper_Kaju-720x400.jpg?v=1672859131,g,,,TRUE,TRUE,,,TRUE,,,TRUE,9,,TRUE,466,,TRUE,10.5,,draft
